All_12_15,All_12_3,All_15_18,All_18_21,All_21_24,All_3_6,All_6_9,All_9_12,BikeFatal,Bike_12_15,Bike_12_3,Bike_15_18,Bike_18_21,Bike_21_24,Bike_3_6,Bike_6_9,Bike_9_12,Fatalities,MVFatal,MV_12_15,MV_12_3,MV_15_18,MV_18_21,MV_21_24,MV_3_6,MV_6_9,MV_9_12,OBJECTID,PedFatal,Ped_12_15,Ped_12_3,Ped_15_18,Ped_18_21,Ped_21_24,Ped_3_6,Ped_6_9,Ped_9_12,geometry_x,geometry_y,source_layer_id
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,999105.1143066734,205758.88971309364,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,1,0,1,0,0,0,0,0,0,990566.7655697614,217741.29652251303,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,1,990168.0488475114,218969.479761675,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,1,0,0,991458.151582256,215138.77548083663,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,1,993695.9125266671,218118.8843500018,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85,1,0,0,0,1,0,0,0,0,998836.8733733445,211836.7348408401,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,991938.7805422544,227642.28361025453,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,1,1,0,0,0,0,0,0,0,994345.5273691714,221402.49326834083,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88,1,1,0,0,0,0,0,0,0,999898.4296491742,229312.86753942072,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89,1,1,0,0,0,0,0,0,0,996831.224497512,236475.50413276255,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,1,0,0,0,1,0,0,0,0,996957.7531158477,236702.86555467546,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,1,0,0,1,0,0,0,0,0,996819.8695333451,238308.7908205092,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,1,0,0,0,997910.9467475116,232849.973326087,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,1,0,0,0,0,1,0,0,0,998037.5442633331,233078.80784216523,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,1,0,0,0,0,0,1,0,0,998602.198645845,241526.5927838385,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95,1,1,0,0,0,0,0,0,0,1000971.0554566681,154076.80639767647,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96,1,0,0,0,1,0,0,0,0,1002290.7247333378,158510.93466851115,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97,1,0,0,1,0,0,0,0,0,1005526.6989044249,161252.8747226745,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98,1,0,1,0,0,0,0,0,0,1006153.2593310922,164917.28635708988,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,1,0,0,1,0,0,0,0,0,1003925.2322910875,172378.94794292748,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,1,0,1,0,0,0,0,0,0,1003371.2504594177,179118.86195650697,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,101,1,0,0,0,1,0,0,0,0,1005334.819366917,174888.32907900214,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,1006068.1381102502,178410.05103817582,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103,1,0,0,0,0,1,0,0,0,1007421.4926870018,178963.23792392015,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104,1,0,1,0,0,0,0,0,0,1008916.111416921,174225.5223337561,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105,1,0,0,0,1,0,0,0,0,1003358.2124277502,182945.2548942566,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106,1,0,0,1,0,0,0,0,0,1005404.2942935973,181336.20332233608,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107,1,0,1,0,0,0,0,0,0,1006949.1107577533,180007.3641165048,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,1008446.6405710876,185735.71519258618,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109,1,0,0,0,1,0,0,0,0,1000897.0529800057,191645.49930475652,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,1001274.2664644271,195792.90275533497,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,1003132.4451627582,196627.73704367876,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,112,0,0,0,0,0,0,0,0,0,1004684.4171244204,193854.1307142526,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,113,0,0,0,0,0,0,0,0,0,1004672.8653102517,199430.81870783865,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114,1,0,0,0,0,1,0,0,0,1008918.4867402613,194147.40112508833,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,115,1,0,0,0,0,1,0,0,0,1014401.4708530009,169811.64664709568,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,116,0,0,0,0,0,0,0,0,0,1015425.3401963413,184531.14411091805,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,1,1,0,0,0,0,0,0,0,1010142.6017460972,194453.12853200734,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,118,1,0,0,1,0,0,0,0,0,1028727.0061782598,176326.16412983835,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,1022787.0872838348,184870.5597706735,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1023569.3622940928,184914.00095675886,0
