Ages_10_to,Ages_10to1,Ages_15_to,Ages_15to1,Ages_18_an,Ages_18and,Ages_20_to,Ages_20to2,Ages_25_to,Ages_25to4,Ages_45_to,Ages_45to6,Ages_5_to_,Ages_5to9,Ages_65_an,Ages_65and,Ages_Under,BoroCD,Borough_name,CounDist,OBJECTID,Precinct,SUM_ASZ,SUM_BikeFatal,SUM_BikeInj,SUM_Enhanced_Crossings,SUM_Fatalities,SUM_Injuries,SUM_LPI,SUM_Left_Turn_Traffic_Calming,SUM_MVFatal,SUM_MVInj,SUM_NeighSlowZones,SUM_PedFatal,SUM_PedInj,SUM_SIPCorridors,SUM_SIPIntersections,SUM_SignalTiming,SUM_SpeedHumps,SUM_Turn_Traffic_Calming,SUM_VZ_Bike,SUM_VZ_Priority_Corridors,SUM_VZ_Priority_Intersections,SUM_VZ_Priority_Zones,Shape_Area,Shape_Area_1,Shape_Leng,Shape_Length,Shape_Length_1,TotalPop,Total_Pop,geometry_x,geometry_y,source_layer_id
4128,,4326,,94377,,5576,,35188,,31726,,4808,,20214,,6104,,,,70,112,10.524544939648413,1,5,8,1,71,79,8,0,39,0,0,23,29.378054513852128,26,5.012880488199717,73,22,0,8.09449481990997,4,27.151483872631378,88945075.65073244,,41644.0361561,41644.035729514086,,,112070,,,0
8222,,9378,,91669,,8828,,31198,,32177,,7465,,15749,,7021,,,,71,113,1.3181831747818717,0,10,0,1,186,74,2,0,137,0,1,39,18.806082506061305,7,43.43876819496891,123,7,0,4.80709182745494,2,0.0038242979339069188,389562511.9188575,,214441.119229,213869.43701303992,,,120038,,,0
8250,,10456,,171075,,17420,,81660,,44626,,8236,,22730,,9380,,,,72,114,1.3068322159308652,0,17,13,1,159,105,2,0,88,7.292132500231675,1,47,35.16298427400516,14,20.37360336304092,191,18,0.15357186730092026,8.284753499385076,2,3.9920100455198044,179996829.9201308,,113678.964864,113676.00100182998,,,202758,,,0
9425,,10769,,133837,,14071,,58693,,39092,,10251,,17290,,11985,,,,73,115,2.276724577494561,0,14,0,1,158,178,8,1,99,25.249033601742834,0,42,35.497789418278266,14,44.28449173006749,90,26,93.92069502987157,9.175409716810147,2,66.49488683806115,113292903.29865575,,58278.6323916,58278.38909033343,,,171576,,,0
12394,,13712,,130904,,13207,,48526,,45068,,12374,,18442,,12153,,,,74,120,5.94597292105559,0,2,4,1,129,98,1,0,95,10.723777635431706,1,30,13.245676063543362,7,32.507327731339196,160,10,0,16.887991859130636,3,115.28465814663353,232541796.41405088,,96162.0226379,96161.68274005319,,,175876,,,0
0,,0,,0,,0,,0,,0,,0,,0,,0,,,,75,121,6.695831063244875,0,5,1,0,181,43,5,0,133,0,0,43,14.94157454061845,6,29.11833031221236,67,16,0,10.005336983914455,3,21.202668674257087,475711831.4694339,,138124.900334,138123.3609843359,,,0,,,0
11870,,12596,,153357,,12035,,50076,,56929,,11171,,29523,,10619,,,,76,122,0,0,0,0,1,169,58,4,0,136,7.656202800319438,1,33,29.043574587375144,14,17.389024986595363,131,14,0,10.930381693423879,10,50.27876583336818,454780723.97359806,,154887.280081,154885.47106176906,,,194819,,,0
6533,,6621,,75268,,6216,,26875,,28374,,6470,,11379,,5567,,,,77,123,0,0,0,0,0,61,23,1,0,51,0,0,10,2.953263557340754,0,3.793973681479622,96,5,0,5.747907068774117,0,0,460790636.0285154,,120869.367378,120863.81129658087,,,98035,,,0
,10073,,10541,,145177,,13090,,52772,,48469,,9992,,26551,10493,311,,,1,,0,0,11,0,1,142,131,9,0,81,0,1,39,8.595321558349363,7,27.62818772614729,73,35,2.9419516956529397,5.574746217067307,3,11.305948649504575,103176292.45217603,,51566.988707,51566.61732924852,,181981,,,,1
,9235,,10498,,134887,,14488,,59945,,39833,,10494,,16180,11925,404,,,2,,7.249513220448843,0,13,5,0,115,113,15,0,51,11.72040660156213,0,46,21.568346733979137,39,23.420130338235815,59,48,78.61506879203102,7.188991466848013,9,75.84323135604967,65635086.27516615,,36821.1316403,36821.131720525555,,172598,,,,1
,15975,,15308,,126053,,15143,,49276,,36708,,18334,,18914,21724,312,,,3,,2.221316974334368,0,18,4,0,236,226,12,0,115,0,0,87,3.3679065052945574,36,54.17093887663587,60,66,100.62396758932262,11.262339876240889,8,50.382529685195586,99853522.93635091,,52287.4956781,52287.49606783011,,191382,,,,1
,10730,,11631,,120633,,12650,,45277,,39782,,10597,,18317,11680,314,,,4,,2.62422523335474,0,17,5,0,186,129,13,0,103,0,0,62,14.178425078980649,10,48.037996294386474,95,48,82.49515901331907,10.635274724826543,8,39.278970351465865,82179255.12015748,,49220.2644012,49220.264739107355,,160664,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,480,,,5,,0,0,0,0,0,3,1,0,0,2,0,0,1,0.13262877191274283,0,0,0,0,0,0,0,0,32722628.661927484,,45447.3475417,45447.10471489914,,0,,,,1
,7362,,8320,,60637,,7220,,22914,,19036,,6742,,8157,6717,316,,,6,,4.728010351586997,0,5,3,1,163,123,1,1,116,3.6163532140822094,0,39,16.77495434832416,30,21.234667038772717,55,12,3.9604896301216046,6.287527523989822,5,53.83196328567843,51766598.80925495,,33028.5356267,33028.51935189297,,86468,,,,1
,9955,,11025,,119641,,11451,,42553,,42013,,9389,,19185,9681,317,,,7,,1.8326455034043545,0,12,0,1,217,142,3,0,159,0,1,40,17.72098677284753,29,23.717626428318543,102,20,95.48212719329717,14.289136329883389,8,35.27015590624206,93792186.49476984,,43301.4772939,43301.459173420044,,155252,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,164,,,8,,0,0,6,0,0,23,26,7,0,11,0,0,5,22.490258636102674,1,9.159713643616776,0,9,0,0,0,1.7643733991353017,38310768.766894855,,32725.9102817,32725.792782945227,,0,,,,1
,5178,,9116,,91023,,15232,,35530,,22940,,4965,,11846,5386,109,,,9,,6.769995357222122,0,22,6,0,73,73,5,0,33,0,0,17,10.040227051931835,10,56.94830352395774,40,11,0,1.4983795710976753,3,0,41892885.93022748,,34956.4782752,34956.30239254959,,110193,,,,1
